query_id	query_string	query_type	first_type	second_type	query_domain
query1925	end of the year exams	L	L	NULL	GOV
query2486	insect	L	L	NULL	GOV
query3530	blood pressure	L	L [hyp:medical condition]	NULL	GOV
query3637	broadcasted live	L	L M [syn:in real time]	NULL	GOV
query3772	lungs	L	L M [hyp:body part]	NULL	GOV
query1236	ankle bells	L	L	NULL	GOV
query3011	spy,bomb	L	L [hyp:person]	L [hyp:explosive]	GOV
query482	road accident	L	L	NULL	GOV
query3532	reduce,accident	L	L [syn:curtail]	L [syn:mishap]	GOV
query478	British colonies	L	L	NULL	GOV
query1997	city council	L	L	NULL	GOV
query1528	Bungoma,factory	L	L	L	GOV
query1930	rebuild	L	L	NULL	GOV
query1824	sustainability,motorcycle	L	L	L	GOV
query3993	commit suicide,gun	L	L [syn:self murder]	L [hyp:weapon]	GOV
query1637	Al Bashir,president	L	L	L	GOV
query1980	sunflower oil	L	L	NULL	GOV
query1899	crown	L	L [hyp:headgear]	NULL	GOV
query1916	garbage,ladder	L	L	L	GOV
query2012	church	L	L	NULL	GOV
query1412	publicity,protest	L	L	L	GOV
query1904	Red Cross	L	L [hyp:aid organization]	NULL	GOV
query1639	Ugandan	L	L [syn:person from Uganda]	NULL	GOV
query1539	Brazil,refugee	L	L	L	GOV
query1554	Shimoni,political refugees	L	L	L	GOV
query1056	poem	L	L	NULL	GOV
query1820	breakfast	L	L	NULL	GOV
query1903	snow	L	L	NULL	GOV
query1634	port	L	L [syn:harbor]	NULL	GOV
query1424	library	L	L [evf:books]	NULL	GOV
query1648	arrow	L	L	NULL	GOV
query3609	peace treaty,law	L	L [syn:peace agreement]	L	GOV
query1908	cockroach	L	L	NULL	GOV
query1053	foolish	L	L	NULL	GOV
query1617	bottle	L	L [hyp:container]	NULL	GOV
query375	news,weather	L	L	L	GOV
query483	by-election	L	L	NULL	GOV
query3485	hammer	L	L [hyp:hand tool]	NULL	GOV
query3998	made tired	L	L M	NULL	GOV
query1408	picture,hotel	L	L [syn:photograph]	L	GOV
query1626	sugar factory	L	L	NULL	GOV
query3539	invitation,formal	L	L [syn:request to attend]	L [syn:official]	GOV
query2270	fickle	L	L	NULL	GOV
query1641	orange,wisdom	L	L [hyp:fruit]	L	GOV
query4035	abstained	L	L M [syn:hold back from doing]	NULL	GOV
query1532	Singapore,pig	L	L	L	GOV
query1901	soccer	L	L	NULL	GOV
query1443	club,match	L	L [syn:association]	L [evf:competition]	GOV
query1057	improve transportation	L	L	NULL	GOV
query2022	bilharzia	L	L	NULL	GOV
query1802	rent,house	L	L	L	GOV
query1852	horse	L	L [hyp:animal]	NULL	GOV
query1787	shield	L	L [hyp:armor]	NULL	GOV
query3564	planet	L	L	NULL	GOV
query2985	favor	L	L [syn:boon]	NULL	GOV
query1964	motorcycle	L	L	NULL	GOV
query3261	band	L	L [evf:music]	NULL	GOV
query1405	drugs	L	L [hyp:illicit substances]	NULL	GOV
query3793	donut	L	L [hyp:food]	NULL	GOV
query480	gun	L	L	NULL	GOV
query468	coffee	L	L [hyp:beverage]	NULL	GOV
query3515	stage,South Africa	L	L [syn:arena]	L	GOV
query2015	ghost	L	L [syn:spirit]	NULL	GOV
query3814	cheetah	L	L	NULL	GOV
query4344	fertilize,soil	L	L [syn:apply nutrients]	L [syn:ground]	GOV
query1635	paradise	L	L	NULL	GOV
query1465	public enterprise	L	L	NULL	GOV
query1792	ditch	L	L [syn:trench]	NULL	GOV
query1910	tire	L	L [evf:cars]	NULL	GOV
query1816	pineapple	L	L [hyp:fruit]	NULL	GOV
query1999	municipal	L	L	NULL	GOV
query1541	Sahara,infant mortality	L	L	L	GOV
query4030	matches	L	L M [hyp:lighter]	NULL	GOV
query1631	face,earth	L	L [syn:visage]	L [syn:world]	GOV
query1444	pipes,pressure	L	L [syn:water conduit]	L [hyp:physical force]	GOV
query3049	root	L	L [syn:source]	NULL	GOV
query1954	deforestation	L	L	NULL	GOV
query2000	deputy mayor	L	L	NULL	GOV
query2684	national team	L	L	NULL	GOV
query3700	earthen cooking pot,water	L	L	L [hyp:liquid]	GOV
query2908	toothless person	L	L	NULL	GOV
query2021	elephantiasis	L	L	NULL	GOV
query1644	crisis,solution	L	L	L [syn:answer]	GOV
query1419	small group,party	L	L	L [evf:politics]	GOV
query472	factory,strike	L	L	L [evf:labor]	GOV
query3044	childhood	L	L	NULL	GOV
query2234	pilot	L	L [syn:aviator]	NULL	GOV
query2002	ledger	L	L [syn:account book]	NULL	GOV
query1817	rabbit	L	L	NULL	GOV
query484	stock exchange	L	L	NULL	GOV
query1638	bishop	L	L [hyp:religion]	NULL	GOV
