Segment Identifier	Source
4_1	www.mjengwablog.com
5_1	www.tanzaniatoday.co.tz
5_2	www.tanzaniatoday.co.tz
10_1	www.tanzaniatoday.co.tz
10_2	www.tanzaniatoday.co.tz
16_1	www.mjengwablog.com
17_1	www.mjengwablog.com
19_1	www.tanzaniatoday.co.tz
19_2	www.tanzaniatoday.co.tz
19_3	www.tanzaniatoday.co.tz
20_1	millardayo.com
20_2	millardayo.com
20_3	millardayo.com
23_1	millardayo.com
30_1	www.mjengwablog.com
32_1	millardayo.com
32_2	millardayo.com
32_3	millardayo.com
34_1	www.mjengwablog.com
34_2	www.mjengwablog.com
39_1	www.mjengwablog.com
40_1	www.mjengwablog.com
41_1	www.mjengwablog.com
44_1	www.mjengwablog.com
47_1	www.mjengwablog.com
50_1	Unknown
52_1	www.mjengwablog.com
53_1	www.tanzaniatoday.co.tz
58_1	www.mjengwablog.com
58_2	www.mjengwablog.com
58_3	www.mjengwablog.com
61_1	www.mjengwablog.com
100_1	www.mjengwablog.com
104_1	www.mjengwablog.com
104_2	www.mjengwablog.com
115_1	www.mjengwablog.com
116_1	www.mjengwablog.com
119_1	www.mjengwablog.com
120_1	www.mjengwablog.com
121_1	millardayo.com
122_1	www.mjengwablog.com
124_1	www.mjengwablog.com
128_1	www.mjengwablog.com
131_1	www.mjengwablog.com
134_1	www.mjengwablog.com
137_1	www.mjengwablog.com
137_2	www.mjengwablog.com
141_1	www.mjengwablog.com
155_1	www.mjengwablog.com
157_1	mtanzania.co.tz
163_1	www.mjengwablog.com
164_1	www.mjengwablog.com
167_1	www.mjengwablog.com
178_1	www.mjengwablog.com
180_1	mtanzania.co.tz
195_1	www.mjengwablog.com
195_2	www.mjengwablog.com
200_1	www.mjengwablog.com
210_1	www.mjengwablog.com
215_1	www.mjengwablog.com
215_2	www.mjengwablog.com
220_1	www.mjengwablog.com
235_1	www.mjengwablog.com
238_1	www.mjengwablog.com
239_1	www.mjengwablog.com
239_2	www.mjengwablog.com
240_1	www.mjengwablog.com
240_2	www.mjengwablog.com
243_1	www.mjengwablog.com
245_1	www.mjengwablog.com
245_2	www.mjengwablog.com
245_3	www.mjengwablog.com
247_1	www.mjengwablog.com
254_1	www.mjengwablog.com
254_2	www.mjengwablog.com
258_1	www.mjengwablog.com
261_1	Unknown
273_1	www.mjengwablog.com
273_2	www.mjengwablog.com
276_1	mtanzania.co.tz
277_1	www.mjengwablog.com
279_1	www.mjengwablog.com
280_1	www.mjengwablog.com
283_1	Unknown
284_1	www.mjengwablog.com
291_1	www.mjengwablog.com
292_1	www.mjengwablog.com
294_1	www.mjengwablog.com
294_2	www.mjengwablog.com
295_1	www.mjengwablog.com
296_1	www.mjengwablog.com
300_1	www.mjengwablog.com
301_1	www.mjengwablog.com
302_1	mtanzania.co.tz
310_1	www.mjengwablog.com
310_2	www.mjengwablog.com
312_1	www.mjengwablog.com
314_1	www.mjengwablog.com
322_1	mtanzania.co.tz
324_1	www.mjengwablog.com
331_1	www.mjengwablog.com
334_1	www.mjengwablog.com
336_1	www.mjengwablog.com
336_2	www.mjengwablog.com
337_1	www.mjengwablog.com
338_1	www.mjengwablog.com
345_1	Unknown
345_2	Unknown
346_1	Unknown
347_1	www.mjengwablog.com
352_1	www.mjengwablog.com
354_1	www.mjengwablog.com
354_2	www.mjengwablog.com
356_1	www.mjengwablog.com
365_1	www.mjengwablog.com
370_1	www.mjengwablog.com
372_1	www.mjengwablog.com
373_1	www.mjengwablog.com
376_1	www.mjengwablog.com
376_2	www.mjengwablog.com
380_1	www.mjengwablog.com
381_1	www.mjengwablog.com
384_1	www.mjengwablog.com
386_1	www.mjengwablog.com
388_1	www.mjengwablog.com
392_1	www.mjengwablog.com
393_1	www.mjengwablog.com
395_1	www.mjengwablog.com
398_1	www.mjengwablog.com
399_1	www.mjengwablog.com
404_1	www.mjengwablog.com
404_2	www.mjengwablog.com
408_1	www.mjengwablog.com
411_1	www.mjengwablog.com
412_1	www.mjengwablog.com
414_1	www.tanzaniatoday.co.tz
417_1	www.mjengwablog.com
419_1	www.mjengwablog.com
420_1	Unknown
422_1	www.mjengwablog.com
426_1	www.mjengwablog.com
432_1	Unknown
437_1	www.mjengwablog.com
438_1	www.mjengwablog.com
441_1	www.mjengwablog.com
446_1	www.mjengwablog.com
447_1	www.tanzaniatoday.co.tz
447_2	www.tanzaniatoday.co.tz
447_3	www.tanzaniatoday.co.tz
448_1	www.mjengwablog.com
452_1	www.mjengwablog.com
457_1	www.mjengwablog.com
458_1	www.mjengwablog.com
459_1	www.mjengwablog.com
460_1	www.mjengwablog.com
462_1	www.mjengwablog.com
464_1	www.mjengwablog.com
465_1	www.mjengwablog.com
467_1	www.mjengwablog.com
469_1	www.mjengwablog.com
470_1	mtanzania.co.tz
474_1	www.mjengwablog.com
